id,Año,Trimestre,Subsidio_construccion,Unidades_vivienda,area_m2_constr,cod_muni
233,2022,4,VIP,118,5373.50,761
234,2022,4,VIS,1327,89824.50,761
235,2022,4,No_VIS,431,41324.00,131
236,2022,4,VIP,9,457.00,131
237,2022,4,VIS,519,34025.00,131
238,2022,4,No_VIS,856,116549.00,051
239,2022,4,VIP,278,14422.00,051
240,2022,4,VIS,626,35482.00,051
241,2023,1,No_VIS,738,66452.93,081
242,2023,1,VIP,241,12660.10,081
243,2023,1,VIS,821,45806.07,081
244,2023,1,No_VIS,5765,398379.62,111
245,2023,1,VIP,428,20451.00,111
246,2023,1,VIS,6439,307864.38,111
247,2023,1,No_VIS,1367,137260.00,761
248,2023,1,VIP,144,7127.00,761
249,2023,1,VIS,1051,69964.00,761
250,2023,1,No_VIS,1016,134565.33,131
251,2023,1,VIP,5,309.00,131
252,2023,1,VIS,1059,69454.67,131
253,2023,1,No_VIS,671,95059.00,051
254,2023,1,VIP,80,3074.00,051
255,2023,1,VIS,452,25415.00,051
256,2023,2,No_VIS,811,92927.30,081
257,2023,2,VIP,356,18690.83,081
258,2023,2,VIS,1074,65272.70,081
259,2023,2,No_VIS,5495,443616.74,111
260,2023,2,VIP,878,43655.20,111
261,2023,2,VIS,7835,367490.26,111
262,2023,2,No_VIS,461,44566.90,761
263,2023,2,VIP,279,13632.50,761
264,2023,2,VIS,654,39169.10,761
265,2023,2,No_VIS,827,109817.78,131
266,2023,2,VIP,198,8781.33,131
267,2023,2,VIS,793,51876.22,131
268,2023,2,No_VIS,853,128482.50,051
269,2023,2,VIP,11,517.00,051
270,2023,2,VIS,415,25997.50,051
