id_rango_precio,cod_muni,anio,Trimestre,Rango_precio,Unidades_por_rango,area_m2_rango
315,761,2021,3,"Rango 5",1223,92388.88
316,761,2021,3,"Rango 6",678,111955.62
317,051,2021,4,"Rango 2",17,902.57
318,051,2021,4,"Rango 3",301,16229.60
319,051,2021,4,"Rango 4",100,9878.76
320,051,2021,4,"Rango 5",569,45087.58
321,051,2021,4,"Rango 6",634,105655.49
322,081,2021,4,"Rango 1",7,209.00
323,081,2021,4,"Rango 2",267,13278.73
324,081,2021,4,"Rango 3",312,16469.33
325,081,2021,4,"Rango 4",173,11162.52
326,081,2021,4,"Rango 5",729,58410.87
327,081,2021,4,"Rango 6",10,1783.55
328,111,2021,4,"Rango 2",113,5518.50
329,111,2021,4,"Rango 3",192,9978.06
330,111,2021,4,"Rango 4",1845,89544.58
331,111,2021,4,"Rango 5",7522,404901.43
332,111,2021,4,"Rango 6",1396,156684.43
333,131,2021,4,"Rango 2",14,747.00
334,131,2021,4,"Rango 3",233,12575.00
335,131,2021,4,"Rango 4",358,23370.33
336,131,2021,4,"Rango 5",713,55439.23
337,131,2021,4,"Rango 6",402,60530.44
338,761,2021,4,"Rango 1",27,938.00
339,761,2021,4,"Rango 2",138,7526.00
340,761,2021,4,"Rango 3",77,5111.00
341,761,2021,4,"Rango 4",545,39524.00
342,761,2021,4,"Rango 5",1262,89330.01
343,761,2021,4,"Rango 6",100,16769.99
344,051,2022,1,"Rango 2",14,590.00
345,051,2022,1,"Rango 3",32,1974.00
346,051,2022,1,"Rango 4",71,5233.96
347,051,2022,1,"Rango 5",776,60374.09
348,051,2022,1,"Rango 6",496,68618.95
349,081,2022,1,"Rango 1",17,719.32
350,081,2022,1,"Rango 2",449,22746.34
351,081,2022,1,"Rango 3",186,10326.21
352,081,2022,1,"Rango 4",406,25106.30
353,081,2022,1,"Rango 5",1054,82597.21
354,081,2022,1,"Rango 6",19,2801.62
355,111,2022,1,"Rango 1",3,127.00
356,111,2022,1,"Rango 2",99,5041.50
357,111,2022,1,"Rango 3",251,14415.41
358,111,2022,1,"Rango 4",3178,149668.88
359,111,2022,1,"Rango 5",8250,455167.66
360,111,2022,1,"Rango 6",2521,315108.55
361,131,2022,1,"Rango 1",2,64.00
362,131,2022,1,"Rango 2",34,1707.00
363,131,2022,1,"Rango 3",52,2898.00
364,131,2022,1,"Rango 4",1048,66094.00
365,131,2022,1,"Rango 5",469,47244.44
366,131,2022,1,"Rango 6",393,50229.56
367,761,2022,1,"Rango 1",4,156.00
368,761,2022,1,"Rango 2",116,5682.80
369,761,2022,1,"Rango 3",75,4182.80
370,761,2022,1,"Rango 4",1871,137462.00
371,761,2022,1,"Rango 5",294,26800.95
372,761,2022,1,"Rango 6",78,10838.45
373,051,2022,2,"Rango 2",133,7086.00
374,051,2022,2,"Rango 3",17,993.00
375,051,2022,2,"Rango 4",218,11988.00
376,051,2022,2,"Rango 5",579,47166.54
377,051,2022,2,"Rango 6",943,124310.46
378,081,2022,2,"Rango 1",23,853.00
379,081,2022,2,"Rango 2",727,38565.83
380,081,2022,2,"Rango 3",305,17122.84
381,081,2022,2,"Rango 4",667,43216.83
382,081,2022,2,"Rango 5",872,59740.26
383,081,2022,2,"Rango 6",106,16941.24
384,111,2022,2,"Rango 1",10,439.33
385,111,2022,2,"Rango 2",257,9604.04
386,111,2022,2,"Rango 3",324,12256.73
387,111,2022,2,"Rango 4",1369,73191.52
388,111,2022,2,"Rango 5",7596,410712.15
389,111,2022,2,"Rango 6",1575,159389.23
390,131,2022,2,"Rango 1",1,36.00
391,131,2022,2,"Rango 2",18,1162.00
392,131,2022,2,"Rango 3",108,6086.67
393,131,2022,2,"Rango 4",77,4859.00
394,131,2022,2,"Rango 5",393,27883.73
395,131,2022,2,"Rango 6",352,51649.60
396,761,2022,2,"Rango 1",22,831.07
397,761,2022,2,"Rango 2",121,5791.80
398,761,2022,2,"Rango 3",78,4807.00
399,761,2022,2,"Rango 4",1378,94131.13
400,761,2022,2,"Rango 5",1867,146330.22
401,761,2022,2,"Rango 6",806,117610.78
402,051,2022,3,"Rango 1",1,45.00
403,051,2022,3,"Rango 2",145,6498.00
404,051,2022,3,"Rango 3",55,2942.00
405,051,2022,3,"Rango 4",235,14429.00
406,051,2022,3,"Rango 5",520,39340.48
407,051,2022,3,"Rango 6",444,80883.52
408,081,2022,3,"Rango 1",12,372.50
409,081,2022,3,"Rango 2",408,21355.30
410,081,2022,3,"Rango 3",204,11539.33
411,081,2022,3,"Rango 4",192,13032.37
412,081,2022,3,"Rango 5",557,39800.85
413,081,2022,3,"Rango 6",202,21391.65
414,111,2022,3,"Rango 1",2,84.00
415,111,2022,3,"Rango 2",142,6173.31
416,111,2022,3,"Rango 3",46,2586.82
417,111,2022,3,"Rango 4",1164,62181.22
418,111,2022,3,"Rango 5",8031,408089.15
419,111,2022,3,"Rango 6",1442,166622.50
420,131,2022,3,"Rango 1",1,54.67
421,131,2022,3,"Rango 2",69,3343.33
422,131,2022,3,"Rango 3",10,719.33
423,131,2022,3,"Rango 4",459,29629.82
424,131,2022,3,"Rango 5",630,49531.18
425,131,2022,3,"Rango 6",276,53911.67
426,761,2022,3,"Rango 2",107,4953.40
427,761,2022,3,"Rango 3",104,6356.39
428,761,2022,3,"Rango 4",377,25237.02
429,761,2022,3,"Rango 5",986,76584.19
430,761,2022,3,"Rango 6",433,61223.00
431,051,2022,4,"Rango 2",58,2772.00
432,051,2022,4,"Rango 3",19,1127.00
433,051,2022,4,"Rango 4",312,16239.07
434,051,2022,4,"Rango 5",588,45862.03
435,051,2022,4,"Rango 6",505,86030.90
436,081,2022,4,"Rango 1",4,176.50
437,081,2022,4,"Rango 2",328,16249.50
438,081,2022,4,"Rango 3",124,7103.00
439,081,2022,4,"Rango 4",103,6662.00
440,081,2022,4,"Rango 5",1479,105303.51
441,081,2022,4,"Rango 6",410,49124.49
442,111,2022,4,"Rango 1",6,233.00
443,111,2022,4,"Rango 2",157,7867.50
444,111,2022,4,"Rango 3",108,6199.32
445,111,2022,4,"Rango 4",813,44850.68
446,111,2022,4,"Rango 5",6435,320853.98
447,111,2022,4,"Rango 6",1712,190315.52
448,131,2022,4,"Rango 2",61,2745.00
449,131,2022,4,"Rango 3",8,576.00
450,131,2022,4,"Rango 4",166,10506.00
451,131,2022,4,"Rango 5",623,47853.83
452,131,2022,4,"Rango 6",92,13668.17
453,761,2022,4,"Rango 1",2,54.00
454,761,2022,4,"Rango 2",109,4901.50
455,761,2022,4,"Rango 3",92,5294.00
456,761,2022,4,"Rango 4",138,9725.00
457,761,2022,4,"Rango 5",1310,96805.87
458,761,2022,4,"Rango 6",402,68003.63
459,051,2023,1,"Rango 2",100,3838.00
460,051,2023,1,"Rango 3",9,489.00
461,051,2023,1,"Rango 4",123,7842.60
462,051,2023,1,"Rango 5",611,51001.22
463,051,2023,1,"Rango 6",280,57303.18
464,081,2023,1,"Rango 1",1,36.00
465,081,2023,1,"Rango 2",557,28913.15
466,081,2023,1,"Rango 3",82,4960.81
467,081,2023,1,"Rango 4",282,18309.48
468,081,2023,1,"Rango 5",445,37122.92
469,081,2023,1,"Rango 6",192,22916.64
470,111,2023,1,"Rango 1",4,126.00
471,111,2023,1,"Rango 2",41,2209.00
472,111,2023,1,"Rango 3",312,15663.13
473,111,2023,1,"Rango 4",2087,102579.69
474,111,2023,1,"Rango 5",8256,406080.22
475,111,2023,1,"Rango 6",1504,179585.96
476,131,2023,1,"Rango 2",80,3459.00
477,131,2023,1,"Rango 3",88,4750.00
478,131,2023,1,"Rango 4",833,57558.00
479,131,2023,1,"Rango 5",339,28087.41
480,131,2023,1,"Rango 6",735,110165.59
481,761,2023,1,"Rango 1",1,18.00
482,761,2023,1,"Rango 2",143,7109.00
483,761,2023,1,"Rango 3",101,6542.00
484,761,2023,1,"Rango 4",494,35235.00
485,761,2023,1,"Rango 5",1448,118211.84
486,761,2023,1,"Rango 6",231,40108.16
487,051,2023,2,"Rango 2",11,517.00
488,051,2023,2,"Rango 3",3,144.50
489,051,2023,2,"Rango 4",175,9564.00
490,051,2023,2,"Rango 5",420,30201.85
491,051,2023,2,"Rango 6",659,114052.65
492,081,2023,2,"Rango 1",4,145.00
493,081,2023,2,"Rango 2",285,14811.83
494,081,2023,2,"Rango 3",80,4518.33
495,081,2023,2,"Rango 4",267,17261.18
496,081,2023,2,"Rango 5",913,69986.66
497,081,2023,2,"Rango 6",336,51477.00
498,111,2023,2,"Rango 1",1,48.00
499,111,2023,2,"Rango 2",190,8459.96
500,111,2023,2,"Rango 3",330,16843.97
501,111,2023,2,"Rango 4",2364,122371.84
502,111,2023,2,"Rango 5",8278,429163.64
503,111,2023,2,"Rango 6",2167,234219.59
504,131,2023,2,"Rango 1",1,79.33
505,131,2023,2,"Rango 2",197,8702.00
506,131,2023,2,"Rango 3",3,210.00
507,131,2023,2,"Rango 4",266,19036.99
508,131,2023,2,"Rango 5",666,50116.84
509,131,2023,2,"Rango 6",487,83548.84
510,761,2023,2,"Rango 1",15,538.71
511,761,2023,2,"Rango 2",265,13123.79
512,761,2023,2,"Rango 3",106,6735.20
513,761,2023,2,"Rango 4",149,11183.40
514,761,2023,2,"Rango 5",530,41302.94
515,761,2023,2,"Rango 6",50,10851.96
